species,enrichment_fdr,n_genes,pathway_genes,fold_enrichment,pathway,url,genes,dataset,category_of_interest,enrichment_method,protein_db,taxon_id,assembly_name,ensembl_id
Aedes aegypti,0.00683871,15,204,3.35048261,GO:0006357 reg. of transcription by RNA polymerase II,http://amigo.geneontology.org/amigo/term/GO:0006357,Q17K67 Q17I67 A0A1S4F4V4 A0A1S4F9Z0 Q176B9 A0A0P6K0V3 A0A1S4FVW5 A0A0P6IVB5 Q16I75 Q16G14 A0A0P6K0X9 A0A0P6J4C6 Q16K77 Q16UC4 Q17NE5,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,0.00699947,26,510,2.32300127,GO:0009889 reg. of biosynthetic proc.,http://amigo.geneontology.org/amigo/term/GO:0009889,A0A1S4EXU7 Q17LA6 Q17K67 Q17I67 A0A1S4F4V4 A0A1S4F9Z0 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 Q176B9 A0A1S4FJ71 A0A1S4FM75 A0A0P6K0V3 A0A1S4FVW5 A0A0P6IVB5 Q16I75 A0A1S4G0T1 Q16G14 A0A0P6K0X9 Q16N83 A0A1S4FF96 A0A0P6J4C6 Q16K77 Q16UC4 Q17NE5 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,0.00833964,30,652,2.09662102,GO:0051171 reg. of nitrogen compound metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0051171,A0A1S4EXU7 Q17LA6 Q17K67 Q17I67 A0A1S4F4V4 Q16I15 A0A1S4F8Q2 A0A1S4F9Z0 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 Q176B9 A0A0P6IX28 A0A1S4FGH1 A0A1S4FJ71 A0A1S4FM75 A0A0P6K0V3 A0A1S4FVW5 A0A0P6IVB5 Q16I75 Q16G14 A0A0P6IVL3 A0A0P6K0X9 Q16N83 A0A1S4FF96 A0A0P6J4C6 Q16K77 Q16UC4 Q17NE5 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,0.00833964,30,653,2.09341027,GO:0080090 reg. of primary metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0080090,A0A1S4EXU7 Q17LA6 Q17K67 Q17I67 A0A1S4F4V4 Q16I15 A0A1S4F8Q2 A0A1S4F9Z0 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 Q176B9 A0A0P6IX28 A0A1S4FGH1 A0A1S4FJ71 A0A1S4FM75 A0A0P6K0V3 A0A1S4FVW5 A0A0P6IVB5 Q16I75 Q16G14 A0A0P6IVL3 A0A0P6K0X9 Q16N83 A0A1S4FF96 A0A0P6J4C6 Q16K77 Q16UC4 Q17NE5 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,0.00699947,33,731,2.05704048,GO:0019222 reg. of metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0019222,A0A1S4EXU7 Q17LA6 Q17K67 Q17I67 A0A1S4F4V4 Q16I15 A0A1S4F8Q2 A0A1S4F9Z0 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A1S4FD07 Q176B9 Q175K5 A0A0P6IX28 A0A1S4FGH1 A0A1S4FJ71 A0A1S4FM75 A0A0P6K0V3 A0A1S4FVW5 A0A0P6IVB5 Q16I75 A0A1S4G0T1 Q16G14 A0A0P6IVL3 A0A0P6K0X9 Q16N83 A0A1S4FF96 A0A0P6J4C6 Q16K77 Q16UC4 Q17NE5 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,5.88E-05,68,1624,1.90795955,GO:0050789 reg. of biological proc.,http://amigo.geneontology.org/amigo/term/GO:0050789,A0A1S4EVA2 Q17NJ1 Q17N19 A0A1S4EXX0 A0A1S4EXU7 Q17LA6 Q17K67 A0A1S4EZX0 Q17J05 Q17I67 A0A0P6K0W1 A0A1S4F4V4 Q16I15 Q17D24 A0A1S4F8Q2 A0A1S4F9Z0 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A1S4FD07 Q176B9 Q175K5 A0A0P6IX28 A0A1S4FGH1 A0A1S4FH10 A0A1S4FJ71 A0A1S4FJ63 A0A1S4FJZ7 Q16WV5 Q16W03 A0A1S4FM75 Q16VR4 Q16VA1 Q16PP6 A0A1S4FU22 A0A0P6K0V3 A0A1S4FVW5 A0A0P6J0T1 A0A411JKA7 A0A1S4FYY2 J9HG16 A0A0P6IVB5 Q16I75 A0A1S4G0T1 Q16HK0 Q16G14 A0A1S4G7M5 A0A0P6J4M7 A0A0P6IY86 A0A0P6ITT4 A0A0P6IVL3 A0A0P6K0X9 A0A1S4FER6 A0A0P6IXL7 Q16N83 A0A1S4FF96 A0A0P6J4C6 Q16K77 A0A0P6ISZ2 Q16UC4 Q171K9 Q17NE5 Q16KH2 A0A0P6JS10 Q16LK0 Q16GL8 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,0.00010135,63,1506,1.90617098,GO:0050794 reg. of cellular proc.,http://amigo.geneontology.org/amigo/term/GO:0050794,A0A1S4EVA2 Q17NJ1 Q17N19 A0A1S4EXX0 A0A1S4EXU7 Q17LA6 Q17K67 A0A1S4EZX0 Q17J05 Q17I67 A0A0P6K0W1 A0A1S4F4V4 Q17D24 A0A1S4F8Q2 A0A1S4F9Z0 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 Q176B9 Q175K5 A0A1S4FGH1 A0A1S4FH10 A0A1S4FJ71 A0A1S4FJ63 A0A1S4FJZ7 Q16WV5 Q16W03 A0A1S4FM75 Q16VR4 Q16VA1 Q16PP6 A0A1S4FU22 A0A0P6K0V3 A0A1S4FVW5 A0A0P6J0T1 A0A411JKA7 A0A1S4FYY2 J9HG16 A0A0P6IVB5 Q16I75 Q16HK0 Q16G14 A0A1S4G7M5 A0A0P6J4M7 A0A0P6IY86 A0A0P6ITT4 A0A0P6K0X9 A0A1S4FER6 A0A0P6IXL7 Q16N83 A0A1S4FF96 A0A0P6J4C6 Q16K77 A0A0P6ISZ2 Q16UC4 Q171K9 Q17NE5 Q16KH2 A0A0P6JS10 Q16LK0 Q16GL8 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,1.70E-04,69,1756,1.79048569,GO:0065007 biological reg.,http://amigo.geneontology.org/amigo/term/GO:0065007,A0A1S4EVA2 Q17NJ1 Q17N19 A0A1S4EXX0 A0A1S4EXU7 Q17LA6 Q17K67 A0A1S4EZX0 Q17J05 Q17I67 A0A0P6K0W1 A0A1S4F4V4 Q16I15 Q17D24 Q16IW8 A0A1S4F8Q2 A0A1S4F9Z0 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A1S4FD07 Q176B9 Q175K5 A0A0P6IX28 A0A1S4FGH1 A0A1S4FH10 A0A1S4FJ71 A0A1S4FJ63 A0A1S4FJZ7 Q16WV5 Q16W03 A0A1S4FM75 Q16VR4 Q16VA1 Q16PP6 A0A1S4FU22 A0A0P6K0V3 A0A1S4FVW5 A0A0P6J0T1 A0A411JKA7 A0A1S4FYY2 J9HG16 A0A0P6IVB5 Q16I75 A0A1S4G0T1 Q16HK0 Q16G14 A0A1S4G7M5 A0A0P6J4M7 A0A0P6IY86 A0A0P6ITT4 A0A0P6IVL3 A0A0P6K0X9 A0A1S4FER6 A0A0P6IXL7 Q16N83 A0A1S4FF96 A0A0P6J4C6 Q16K77 A0A0P6ISZ2 Q16UC4 Q171K9 Q17NE5 Q16KH2 A0A0P6JS10 Q16LK0 Q16GL8 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,0.00557247,3,4,34.1749226,GO:0034707 chloride channel complex,http://amigo.geneontology.org/amigo/term/GO:0034707,Q16RK1 Q16P14,GO Cell Component,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,0.00557247,99,3166,1.42485464,GO:0016020 membrane,http://amigo.geneontology.org/amigo/term/GO:0016020,A0A1S4EVA2 A0A0P6IW15 A0A1S4EWB0 Q17NJ1 Q17NM9 Q17NC4 Q17N19 Q17LP8 Q17KI5 Q17K92 A0A1S4F022 Q17IU2 Q17IA0 A0A1S4F2H1 Q17HA9 A0A1S4F2T8 A0A1S4F315 A0A1S4F361 Q17GP3 Q17GF2 A0A1S4F5I3 Q1HRI9 Q17CP4 Q17BE2 Q17AX2 Q17AJ3 A0A1S4FA68 A0A1S4FAZ9 A0A1S4FB77 Q0IFC5 Q176Y4 Q176W7 Q173U8 A0A1S4FFU4 Q173B0 Q1HRN7 A0A1S4FH10 A0A0P6IUU0 Q170D7 A0A1S4FJ63 A0A1S4FJ60 A0A1S4FKX5 Q16WU5 Q16WF1 Q16W03 A0A1S4FNS8 A0A1S4FPJ9 J9EAN8 Q16SI7 Q16S36 Q16RY8 A0A1S4FRX2 Q16RK1 A0A1S4G3G5 A0A1S4FSU8 Q16PP6 A0A1S4FU22 Q1HQG4 A0A1S4FVM5 A0A0P6J0T1 A0A411JKA7 Q16JQ4 A0A1S4FYY2 J9HG16 A0A1S4G0B0 A0A1S4G0T1 Q16GZ8 A0A1S4G0Z6 A0A1S4G219 Q16LQ3 A0A1S4G685 A0A1S4G7M5 A0A1S4G7G9 A0A0P6IZR0 A0A0P6J4J0 A0A1S4G7U1 A0A0P6J5D2 Q17G69 A0A1S4FER6 Q16ND4 Q16P14 A0A1S4FH62 J9EAF0 Q171K9 Q16LX7 Q17FC6 Q17DL2 A0A1S4FQK8 Q16TV9 A0A1S4F358 Q17GP4 Q16EE7 A0A0P6IW43 A0A1S4EZP1 Q16XQ1 Q16GL8 A0A0P6IZM4,GO Cell Component,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
